gene	PAPmneg1	PAPmneg2	PAPmpos1	PAPmpos2	SCCmneg1	SCCmneg2	SCCmpos1	SCCmpos2
1500011B03Rik	397.975	216.852	344.881	277.666	1159.88	261.314	1298.036	344.251
1500011K16Rik	587	505	749	411	701	526	647	590
1500012K07Rik	0	0	0	0	0	1	0	0
1500015A07Rik	104	64.003	123.529	68.326	120.407	59.066	113	50.464
1500015L24Rik	0	0	0	0	0	2	0	0
1500015O10Rik	44	19	47	15	72	3	43	18
1500026H17Rik	1	1	2	0	2	0	2	0
1500035N22Rik	0	0	0	0	0	0	0	0
1520401A03Rik	2	0	0	0	975	0	529.001	1
1600002K03Rik	268	260	314	192	298	215	342	303
1600010M07Rik	3	0	1	0	5.342	0	2	0
1600012H06Rik	964.963	998.106	1496.772	1342.299	812.301	1298.255	1249.595	1745.782
1600012P17Rik	0	0	0	0	0	0	0	0
1600014C10Rik	286.965	268.733	271	295.001	352.365	315.798	445.875	449.861
1600015I10Rik	0	0	0	0	0	0	0	0
1600017P15Rik	1	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	2	0	0	0	0
1600020E01Rik	151.001	123.056	179.05	179.03	407.024	114.022	377.045	110.08
1600023N17Rik	0	1	3	4	2	4	5	0
1600025M17Rik	2	0	0	0	3	2	0	0
1600027J07Rik	0	0	0	0	0	0	0	0
1600029O15Rik	1	1	3.217	2.002	3	4.02	3.009	2.007
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	8.692	4.998	6.076	5.367	9.432	12.374	13.718	0.921
1700001D01Rik	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0
1700001G11Rik	0	0	2	6	2	11	5	3
1700001G17Rik	7	8	7	1	12	6	24	9
1700001J03Rik	0	0	0	0	1	0	0	0
1700001J04Rik	0	0	0	0	0	0	0	0
1700001J11Rik	1.039	1.242	4.633	1.998	1.008	3.074	0	2.363
1700001K19Rik	1	3	1	4	2	4	6	1
1700001L05Rik	61	57	104.999	55.001	49	145	73	122
1700001L19Rik	1	1	4	0	1	2	2	3
1700001N15Rik	0	0	0	0	0	0	0	0
1700001O22Rik	84	50	66	43	69	42	74	41.001
1700001P01Rik	5	6	5	4	17	9	10	10
1700003C15Rik	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	2	0	0	0	0	0
1700003E16Rik	60	20	43	16	34	37	36	29
1700003E24Rik	0	0	0	0	0	0	0	0
1700003F12Rik	0	0	0	0	0	0	1	0
1700003G13Rik	1.011	1	10	1	7.091	2.017	3	4
1700003G18Rik	0	0	0	0	0	0	0	1
1700003H04Rik	0	0	0	0	0	0	0	0
1700003I16Rik	0	0	0	0	0	0	2	0
1700003I22Rik	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0
1700003M07Rik	1	0	1	0	0	0	1	0
1700003N22Rik	0	0	0	1.181	2.461	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	1	0
1700006J14Rik	0	5.156	5.323	11.49	0	6.475	5.794	7.799
1700006P03Rik	0	0	0	0	0	0	0	0
1700007E05Rik	3	1	2.355	1.082	2.146	5.215	0	3.434
1700007F19Rik	0	0	0	0	0	0	0	0
1700007G11Rik	4	4	3	11	1	2	0	1
1700007J10Rik	3.626	5.466	1.061	9.098	3.596	3.396	3.306	6.169
1700007K09Rik	0	0	0	2	6	0	0	0
1700007K13Rik	108	71	170	88	59	97	76	139
1700007L15Rik	5.355	28	33.63	0	33.218	27	46.323	12.414
1700007M16Rik	0	0	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0	0	0
1700008A23Rik	0	0	0	2	0	0	0	0
1700008B11Rik	0	1	0	0	1	0	0	2
1700008C04Rik	0	0	0	0	0	0	0	0
1700008H02Rik	0	1	2.44	0	2	0	0	0
1700008J07Rik	69.306	51.189	63.44	33.655	55.511	62.676	113.231	60.034
1700008K24Rik	0	0	0	2	0	0	0	0
1700008N11Rik	0	0	1.019	0	0	0	0	0
1700008O03Rik	1	1	0	0	7.907	0	4	2.082
1700008P02Rik	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0
1700009N14Rik	2	0	3	2	1	1	2	3
1700010B08Rik	0	0	0	0	0	0	0	0
1700010B13Rik	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0
1700010I14Rik	5	0	0	10	5	2	8	0
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	1	0	1.877	0	0	0
1700010K24Rik	0	1	3	0	0	0	0	0
1700010L04Rik	0	0	0	0	0	2	0	0
1700010N08Rik	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	1	0
1700011C11Rik	0	0	0	0	0	0	0	0
1700011D18Rik	0	0	0	0	0	0	0	1
1700011H14Rik	0	0	0	0	1	0	0	0
1700011I03Rik	0	0	0	0	0	0	0	0
1700011L03Rik	0	0	1	0	0	0	0	0
1700011L22Rik	2	0	0	0	0	0	2	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	1	0	0	0	0	0
1700012B09Rik	0	0	4	4	1	0	9	0
1700012C08Rik	0	0	0	0	0	0	1	0
1700012C14Rik	0	0	0	0	1	0	0	0
1700012D14Rik	12.9	12	12.993	14.947	15.965	2	15.121	5.725
1700012D16Rik	0	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	1	0	0	0	0	0
1700012J15Rik	0	0	0	0	0	0	0	0
1700012J22Rik	1	0	1	0	0	0	0	0
1700012P22Rik	3	0	1	0	1	0	8	0
1700013A02Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700013M08Rik	0	0	0	0	0	0	0	0
1700013N06Rik	0	2	0	0	0	0	0	0
1700014D04Rik	1	3	0	7	0	0	0	2
1700014F14Rik	0	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	0	0	0	0	0
1700015C15Rik	0	0	0	0	0	0	0	0
1700015C17Rik	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0
1700015I17Rik	0	2.019	1.006	1.003	0	1.005	1.011	0
1700015O11Rik	0	0	0	0	0	0	0	0
1700016A09Rik	2.032	0	4.028	1.001	6.012	3.078	3.006	5.057
1700016B01Rik	0	0	0	0	0	0	0	0
1700016B15Rik	0	0	0	1.127	0	1	0	0
1700016C15Rik	4	1	6	1	30	0	32	0
1700016D06Rik	0	0	0	0	0	0	0	0
1700016D08Rik	0	0	0	0	0	0	0	0
1700016F12Rik	0	0	0	0	0	0	0	0
1700016G14Rik	1	0	0	0	0	0	0	1
1700016G22Rik	0	0	1	0	0	1	0	2
1700016H13Rik	16	10	22.999	13	8	15	17	22
1700016J18Rik	0	0	0	0	0	0	0	0
1700016K19Rik	10	7	11	10	10	10	30	16
1700016L21Rik	0	0	0	0	0	0	0	0
1700016P03Rik	0	0	0	0	0	0	1.784	0
1700016P04Rik	0	0	1	0	0	0	0	0
1700017B05Rik	518.992	469	194	179	1161	336.001	1188.98	170.001
1700017D01Rik	0	0	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0	0	0
1700017I07Rik	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0	0	0
1700017M07Rik	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0
1700018A04Rik	1	1	1	4	2	4	1	1
1700018A14Rik	0	0	0	0	0	0	0	0
1700018A23Rik	1.021	0	5.146	2.051	2.048	3.091	4.162	2.063
1700018B08Rik	0	0	0	0	1	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700018L02Rik	1.013	5.074	1.003	0	7.149	1.03	1.015	1.007
1700018M17Rik	0	0	0	0	0	0	0	0
1700018P08Rik	0	0	0	0	0	0	0	0
1700019A02Rik	4	1	9	3	0	1	2	4
1700019A23Rik	0	0	0	0	2	0	0	0
1700019C18Rik	1	0	0	1	0	0	1	0
1700019D03Rik	2	1	5	0	12	0	4	2
1700019E08Rik	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0	0
1700019J19Rik	0	0	0	0	0	0	0	0
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0
1700019P21Rik	0	0	0	0	0	0	0	0
1700020A23Rik	1	0	0	0	2.915	0	3	0
1700020D05Rik	3	0	1	4	2	1	2	0
1700020D12Rik	0	0	0	0	0	0	0	0
1700020G03Rik	0	0	0	0	0	0	0	0
1700020G17Rik	0	0	1.102	0	0	0	0	0
1700020I14Rik	1679.969	1122.926	2194.673	1851.555	1202.102	1767.277	2114.853	2047.487
1700020L24Rik	91.408	167.353	58.5	137.497	129.115	183.322	115.664	190.211
1700020M21Rik	0	0	0	0	0	1	0	0
1700020N01Rik	0	0	0	0	1	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0	0	0
1700021A07Rik	0	0	0	0	0	0	0	0
1700021F02Rik	0	0	0	0	0	0	0	0
1700021F05Rik	666.115	382.395	739	447	596	578	588	573
1700021F07Rik	0	0	0	0	0	0	0	0
1700021F13Rik	0	0	0	0	0	0	0	0
1700021G15Rik	0	0	0	0	0	0	0	0
1700021J08Rik	11.94	1.354	4.375	1.271	4.225	1.414	8.569	3.08
1700021L23Rik	1	0	0	1	3	0	1	0
1700021N21Rik	0	1	0	0	1	0	0	0
1700021P04Rik	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0
1700022H01Rik	0	0	0	0	1	0	1	0
1700022H16Rik	0	0	0	0	0	0	0	0
1700022I11Rik	2.315	0	3.303	1.261	1	1	1	2.302
1700022N22Rik	9.699	0	7	8.755	0	3	8.129	1.323
1700023C21Rik	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0
1700023F06Rik	15	13	41	22	18	25	16	32
1700023G09Rik	0	0	0	0	0	0	0	0
1700023H06Rik	3	0	5	4	7	11	7	9
1700024B05Rik	0	0	2.069	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0
1700024I08Rik	0	0	1	0	0	0	0	0
1700024J04Rik	0	4.659	1	4	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0
1700025A08Rik	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	2	1	0	0
1700025G04Rik	1431.711	1197.001	1262	1018	1589.688	1351	1585.764	1249.944
1700025H01Rik	0	0	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0
1700025L06Rik	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0
1700025N21Rik	0	0	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	1.001	0	0	0
1700025O08Rik	0	0	0	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0	0	0
1700026J12Rik	0	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0	0
1700027A07Rik	4	1	2	4	3	1	3	4
1700027A15Rik	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0
1700027H10Rik	1	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	1	0
1700027J07Rik	0	0	0	0	0	0	0	0
1700028B04Rik	1	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0
1700028E10Rik	14.78	13	12.916	3	23	11.168	22	8.195
1700028I16Rik	2	6	4	1	6	2	3	1
1700028J19Rik	0	4.012	3.721	15.561	10	11.416	10.646	1.416
1700028K03Rik	1	0	3	3	0	1	0	2
1700028M03Rik	0	0	0	0	0	0	0	0
1700028N14Rik	0	0	0	0	4	0	2.014	0
1700028P14Rik	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0
1700029B22Rik	2	0	0	0	1	0	0	0
1700029B24Rik	1	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	1	0	0
1700029F12Rik	0	0	0	0	12	0	3	0
1700029H14Rik	0	0	1	0	3	0	0	1
1700029I15Rik	9.042	12	19	20	21.011	11	15	12
1700029J03Rik	0	0	0	0	0	0	0	0
1700029J07Rik	21.028	7.109	22	23.267	10	8	20	14
1700029M03Rik	0	0	0	0	0	0	0	0
1700029M20Rik	0	1	0	1	1	0	1	0
1700029N11Rik	0	0	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0
1700030C10Rik	3.05	0	2.05	3.038	0	1.023	6.114	5.064
1700030C12Rik	0	1.476	0	0	0	0	0	0
1700030C14Rik	0	0	0	0	0	0	0	0
1700030E10Rik	0	0	0	0	0	0	0	0
1700030F04Rik	0	0	0	0	0	0	0	0
1700030I03Rik	0	0	0	0	0	0	0	0
1700030J22Rik	33	32	36	57	12	39	32	45
1700030K09Rik	161.791	175.562	172.596	141.525	232.018	188.124	243.757	222.791
1700030L20Rik	0	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0	0	0
1700030M09Rik	1	1	0	1	0	1	0	0
1700030N03Rik	1	0	0	0	1	0	0	0
1700030N18Rik	0	0	0	0	0	0	0	0
1700030O20Rik	1	0	0	2	0	0	1	0
1700031A10Rik	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0
1700034H15Rik	20.894	5.417	29.079	18.265	8.632	8.292	11.046	6.417
1700034I23Rik	0	1	1.08	2	0	0	1	0
1700034J04Rik	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	2	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0
1700034P13Rik	12.314	14.877	4.23	11.783	9.419	3.176	22.395	34.216
1700036A12Rik	0	3	0	2	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0	0	0
1700037C18Rik	68.899	77.992	76.079	47.522	119.567	68.539	105.264	72.311
1700037F03Rik	0	0	0	1	0	0	0	0
1700037H04Rik	1081.999	1094.001	1058.999	971.999	1118.999	1280.999	1320.999	1481.999
1700039E22Rik	0	0	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0	0	0
1700039M10Rik	2	0	0	1	0	1	0	0
1700039M15Rik	0	0	0	0	0	0	0	0
1700040D17Rik	0	0	0	1	0	0	0	0
1700040E09Rik	0	0	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0	0	0
1700040K01Rik	0	0	0	0	0	0	0	0
1700040L08Rik	1.042	1.232	0	0	1.021	1.069	0	1.068
1700041C23Rik	0	0	0	0	0	0	0	0
1700041G16Rik	3	5	0	0	4	1	1	1
1700041I07Rik	0	0	0	0	0	0	0	0
1700041M05Rik	1	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0
1700042D02Rik	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	1	0	0	2	0	0
1700044C05Rik	0	0	1	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0
1700045I11Rik	0	0	1	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0
1700047A11Rik	0	0	1	1	0	0	0	1
1700047F07Rik	0	0	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0	0	0
1700047G07Rik	0	0.996	0	0	0	0	1.651	0
1700047I17Rik2	0	0	0	0	0	0	0	0
1700047K16Rik	2	2	2	0	3	3	6	0
1700047L14Rik	0	0	0	0	0	0	0	0
1700047M11Rik	15	9	2	0	16	5	3	0
1700047N06Rik	0	0	0	0	0	0	0	0
1700047O18Rik	0	0	0	0	1	0	0	0
1700048F04Rik	0	0	0	0	0	0	0	0
1700048M11Rik	0	0	1	0	1	1	0	1
1700048O20Rik	39	18	13	23	58.001	82	75	84
1700048P04Rik	0	0	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	1	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0
1700049J03Rik	0	0	0	0	0	0	0	0
1700049L16Rik	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0
1700051K13Rik	0	0	0	0	0	0	0	0
1700051O22Rik	1	0	1.996	0.994	0	1.998	0.996	3.996
1700052H01Rik	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0
1700052K11Rik	265.647	135.867	217.439	158.646	239.893	189.928	313.066	153.102
1700054A03Rik	0	0	0	0	0	0	0	0
1700054K02Rik	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	1	0	0	0	0	0
1700054O05Rik	0	0	0	0	0	0	0	0
1700054O19Rik	7.367	5.353	5.198	5.755	0	9.503	2.238	9.233
1700055C04Rik	0	0	0	0	0	0	0	0
1700055D18Rik	25.659	26.102	10.223	5.343	15.185	16.824	33.606	23.279
1700056E22Rik	7	13	10	3	11	8	12	14
1700056N10Rik	6	2	11	9	8	7	2	16
1700057G04Rik	0	0	0	0	0	0	0	0
1700057H15Rik	2	3	0	0	4	2	2	2
1700057H21Rik	0	0	0	1	0	0	0	0
1700058P15Rik	5	17	14	18	8	3	10	5
1700060C16Rik	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0
1700060J05Rik	9.264	2.028	11.261	10.237	8.096	8.164	13.287	8.12
1700060O08Rik	0	0	0	0	0	0	0	0
1700061E17Rik	0	0	0	0	0	0	0	0
1700061E18Rik	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0
1700061G19Rik	25	12	24	10	21	14	27	15
1700061H18Rik	1.038	0	0	0	0	0	2.301	0
1700061I17Rik	1	0	0	2	2	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0
1700061N14Rik	0	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0
1700063D05Rik	1.114	0	3.81	1.307	2.548	3.387	0	6.049
1700063H04Rik	0	0	0	0	0	0	0	0
1700063H06Rik	0	0	0	0	0	0	0	0
1700063I16Rik	2	0	0	0	0	1	0	0
1700063K16Rik	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0
1700064H15Rik	0	0	0	0	0	0	3	0
1700064J06Rik	0	0	0	0	0	0	0	0
1700064M15Rik	0	0	0	0	0	0	0	0
1700065D16Rik	0	0	1.001	0	0	0	1.103	0
1700065I16Rik	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0
1700066B19Rik	19.136	11.023	11	14.024	27.046	22	24.056	17
1700066C05Rik	0	0	0	0	0	3	0	0
1700066J03Rik	2	0	2	0	1	0	0	2
1700066M21Rik	397.369	275	595	391	341	463	508	552
1700066N21Rik	0	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	0	0
1700067G17Rik	0	0	2	0	1	0	0	0
1700067K01Rik	6	2	2	6	8	2	3	2
1700067P10Rik	0	0	0	0	0	0	0	0
1700069B07Rik	0	0	0	0	2	0	4	0
1700069L16Rik	0	0	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0	0	0
1700071G01Rik	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	1	0	0	1	0	1
1700071M16Rik	3.026	0	5.645	5.08	0	3.031	6.245	2.058
1700072B07Rik	0	0	0	0	0	0	0	0
1700072G22Rik	0	0	1	0	0	0	1	0
1700072O05Rik	0	0	0	0	0	0	0	0
1700073E17Rik	5	3	4	5	1	1	1	0
1700074A21Rik	0	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0
1700080G11Rik	0	0	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0
1700081B01Rik	0	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0	0	0
1700081N11Rik	2	7.001	3	1.946	5.001	2	1.946	2
1700082M22Rik	2	0	2	0	1	0	0	0
1700083H02Rik	0	0	0	0	0	0	0	0
1700084C06Rik	7.839	17.478	24.384	32.603	20.178	11.529	29.617	22.365
1700084E18Rik	10.123	9.076	18.036	20.026	20.094	6.04	19	15.036
1700084F23Rik	0	0	0	0	0	0	0	0
1700084J12Rik	1.049	0	0	0	0	1.052	0	2.138
1700084M14Rik	0	0	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0	0
1700086L19Rik	0	0	1	0	0	1	0	0
1700086O06Rik	62.583	41.631	58.682	42.202	79.058	52.107	72.355	52.601
1700086P04Rik	0	0	1	0	1	2	0	0
1700088E04Rik	43.295	80.394	20.193	118.816	114.759	109.043	86.765	104.014
1700091H14Rik	0	0	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0	0	0
